id,question,doc_ids
159,Who likes Responsibility?,"Ula_Yann,Deryl_Falsey"
160,Who likes Squirrels?,"Ula_Yann,Karyn_Geyser"
161,Who likes Elevators?,"Ula_Yann,Ninnie_Przybilla"
162,Who likes Vegetable Oil?,"Ula_Yann,Dejuan_Topete"
163,Who likes Ties?,"Ula_Yann,Kaydence_Retuta"
164,Who likes Dippin' Dots?,"Ula_Yann,Arthur_Tames"
165,Who likes Wallabies?,"Ula_Yann,Vicie_Dopp"
166,Who likes Pork Ribs?,"Ula_Yann,Georgine_Armwood"
167,Who likes Pheasant?,"Ula_Yann,Lorie_Dineen"
168,Who likes Renaissance Art?,"Ula_Yann,Jaquez_Windt"
169,Who likes Pesto?,"Ula_Yann,Alaina_Shabaz"
170,Who likes Axolotls?,"Ula_Yann,Lea_Hatz"
171,Who likes Sea shanties?,"Ula_Yann,Milo_Siddoway"
172,Who likes Violas?,"Ula_Yann,Daphne_Nosker"
173,Who likes Tae Kwon Do?,"Ula_Yann,Shalonda_Revelez"
174,Who likes Sudoku Puzzles?,"Julia_Matsil,Jamar_Brugger"
175,Who likes Sichuan Peppercorns?,"Julia_Matsil,Celie_Scherbert"
176,Who likes Red Bell Peppers?,"Julia_Matsil,Ken_Palacz"
177,Who likes Robins?,"Julia_Matsil,Tyrone_Datu"
178,Who likes Post-War Boom?,"Julia_Matsil,Mattie_Puddy"
179,Who likes Towels?,"Julia_Matsil,Treva_Penix"
180,Who likes Scissors?,"Julia_Matsil,Carlyle_Jee"
181,Who likes Wrestling?,"Julia_Matsil,Jerod_Office"
182,Who likes Catfish?,"Julia_Matsil,Kanye_Goehner"
183,Who likes Parfaits?,"Julia_Matsil,Trevion_Malasig"
184,Who likes Feta Cheese?,"Julia_Matsil,Dulce_Pardieck"
185,Who likes Oil Painting?,"Julia_Matsil,Thor_Flandez"
186,Who likes Goblin Sharks?,"Julia_Matsil,Charolette_Ransbottom"
187,Who likes Wonder?,"Julia_Matsil,Chaka_Laham"
188,Who likes Rose Quartz?,"Julia_Matsil,Latosha_Gorthy"
189,Who likes Sewing?,"Julia_Matsil,Aubra_Hokenson"
190,Who likes Intuition?,"Julia_Matsil,Burl_Corlis"
191,Who likes Patience?,"Julia_Matsil,Saniyah_Jankowski"
192,Who likes Astronomy?,"Julia_Matsil,Judi_Wion"
193,Who likes Desks?,"Julia_Matsil,Melissa_Zanis"
194,Who likes Iced Tea?,"Julia_Matsil,Dickie_Delibero"
195,Who likes Mousse?,"Julia_Matsil,Kallie_Pavlovski"
196,Who likes Wisdom?,"Julia_Matsil,Juliana_Helmold"
197,Who likes Kickboxing?,"Julia_Matsil,Vincenza_Otarola"
198,Who likes Rafflesia Flowers?,"Julia_Matsil,Brent_Connell"
199,Who likes The Sound of Crickets Chirping?,"Julia_Matsil,Dillie_Newett"
200,Who likes Nectarines?,"Julia_Matsil,Deryl_Falsey"
201,Who likes Buckwheat?,"Julia_Matsil,Karyn_Geyser"
202,Who likes Wabi-sabi?,"Julia_Matsil,Ninnie_Przybilla"
203,Who likes East Asian Calligraphy?,"Julia_Matsil,Dejuan_Topete"
204,Who likes Workbenches?,"Julia_Matsil,Kaydence_Retuta"
205,Who likes Ventriloquism?,"Julia_Matsil,Arthur_Tames"
206,Who likes the New York Yankees?,"Julia_Matsil,Vicie_Dopp"
207,Who likes Screwdrivers?,"Julia_Matsil,Georgine_Armwood"
208,Who likes Cymbals?,"Julia_Matsil,Lorie_Dineen"
209,Who likes Irises?,"Julia_Matsil,Jaquez_Windt"
210,Who likes Cantaloupes?,"Julia_Matsil,Alaina_Shabaz"
211,Who likes Volleyball?,"Julia_Matsil,Lea_Hatz"
212,Who likes The Space Age?,"Julia_Matsil,Milo_Siddoway"
213,Who likes Surrealism?,"Julia_Matsil,Daphne_Nosker"
214,Who likes Sprinkles?,"Julia_Matsil,Shalonda_Revelez"
215,Who likes The Age of Discovery?,"Jamar_Brugger,Celie_Scherbert"
216,Who likes Gardenias?,"Jamar_Brugger,Ken_Palacz"
217,Who likes Autonomy?,"Jamar_Brugger,Tyrone_Datu"
218,Who likes Medical Dramas?,"Jamar_Brugger,Mattie_Puddy"
219,Who likes Pumpkin Pies?,"Jamar_Brugger,Treva_Penix"
220,Who likes Rhinoceroses?,"Jamar_Brugger,Carlyle_Jee"
221,Who likes Pitcher Plants?,"Jamar_Brugger,Jerod_Office"
222,Who likes Macaws?,"Jamar_Brugger,Kanye_Goehner"
223,Who likes Anchovies?,"Jamar_Brugger,Trevion_Malasig"
224,Who likes the Baltimore Orioles?,"Jamar_Brugger,Dulce_Pardieck"
225,Who likes Turkeys?,"Jamar_Brugger,Thor_Flandez"
226,Who likes Synchronized Swimming?,"Jamar_Brugger,Charolette_Ransbottom"
227,Who likes Milanos?,"Jamar_Brugger,Chaka_Laham"
228,Who likes Frozen Yogurt?,"Jamar_Brugger,Latosha_Gorthy"
229,Who likes Frosting?,"Jamar_Brugger,Aubra_Hokenson"
230,Who likes Backpacking?,"Jamar_Brugger,Burl_Corlis"
231,Who likes Astrophotography?,"Jamar_Brugger,Saniyah_Jankowski"
232,Who likes Falafel?,"Jamar_Brugger,Judi_Wion"
233,Who likes Poblano Peppers?,"Jamar_Brugger,Melissa_Zanis"
234,Who likes Economists?,"Jamar_Brugger,Dickie_Delibero"
235,Who likes Orangutans?,"Jamar_Brugger,Kallie_Pavlovski"
236,Who likes Beluga Whales?,"Jamar_Brugger,Juliana_Helmold"
237,Who likes Folders?,"Jamar_Brugger,Vincenza_Otarola"
238,Who likes Dumbo Octopuses?,"Jamar_Brugger,Brent_Connell"
239,Who likes Chips Ahoy!?,"Jamar_Brugger,Dillie_Newett"
240,Who likes Candy Canes?,"Jamar_Brugger,Deryl_Falsey"
241,Who likes Turmeric?,"Jamar_Brugger,Karyn_Geyser"
242,Who likes Finches?,"Jamar_Brugger,Ninnie_Przybilla"
243,Who likes Beds?,"Jamar_Brugger,Dejuan_Topete"
244,Who likes Arcade Games?,"Jamar_Brugger,Kaydence_Retuta"
245,Who likes Dustpans?,"Jamar_Brugger,Arthur_Tames"
246,Who likes Paint Rollers?,"Jamar_Brugger,Vicie_Dopp"
247,Who likes the Minnesota Twins?,"Jamar_Brugger,Georgine_Armwood"
248,Who likes Iron?,"Jamar_Brugger,Lorie_Dineen"
249,Who likes the Seattle Mariners?,"Jamar_Brugger,Jaquez_Windt"
250,Who likes Hercules Beetles?,"Jamar_Brugger,Alaina_Shabaz"
251,Who likes Bookbinding?,"Jamar_Brugger,Lea_Hatz"
252,Who likes the Arizona Diamondbacks?,"Jamar_Brugger,Milo_Siddoway"
253,Who likes Journalists?,"Jamar_Brugger,Daphne_Nosker"
254,Who likes Banjos?,"Jamar_Brugger,Shalonda_Revelez"
255,Who likes Pipefish?,"Celie_Scherbert,Ken_Palacz"
256,Who likes Marshes?,"Celie_Scherbert,Tyrone_Datu"
257,Who likes Paramedics?,"Celie_Scherbert,Mattie_Puddy"
258,Who likes Platformer Video Games?,"Celie_Scherbert,Treva_Penix"
259,Who likes Mallets?,"Celie_Scherbert,Carlyle_Jee"
260,Who likes Friendship?,"Celie_Scherbert,Jerod_Office"
261,Who likes Hawks?,"Celie_Scherbert,Kanye_Goehner"
262,Who likes Foraging?,"Celie_Scherbert,Trevion_Malasig"
263,Who likes Graphic Design?,"Celie_Scherbert,Dulce_Pardieck"
264,Who likes Yeti Crabs?,"Celie_Scherbert,Thor_Flandez"
265,Who likes Documentary Films?,"Celie_Scherbert,Charolette_Ransbottom"
266,Who likes Jeans?,"Celie_Scherbert,Chaka_Laham"
267,Who likes Flamingos?,"Celie_Scherbert,Latosha_Gorthy"
268,Who likes Wombats?,"Celie_Scherbert,Aubra_Hokenson"
269,Who likes Economics?,"Celie_Scherbert,Burl_Corlis"
270,Who likes Basins?,"Celie_Scherbert,Saniyah_Jankowski"
271,Who likes Topaz?,"Celie_Scherbert,Judi_Wion"
272,Who likes Optimism?,"Celie_Scherbert,Melissa_Zanis"
273,Who likes Cashews?,"Celie_Scherbert,Dickie_Delibero"
274,Who likes Scarves?,"Celie_Scherbert,Kallie_Pavlovski"
275,Who likes Sumac?,"Celie_Scherbert,Juliana_Helmold"
276,Who likes Bocce Ball?,"Celie_Scherbert,Vincenza_Otarola"
277,Who likes Lamps?,"Celie_Scherbert,Brent_Connell"
278,Who likes Coffee Cakes?,"Celie_Scherbert,Dillie_Newett"
279,Who likes Mastery?,"Celie_Scherbert,Deryl_Falsey"
280,Who likes Pianos?,"Celie_Scherbert,Karyn_Geyser"
281,Who likes Gerbils?,"Celie_Scherbert,Ninnie_Przybilla"
282,Who likes Hack Saws?,"Celie_Scherbert,Dejuan_Topete"
283,Who likes Sneakers?,"Celie_Scherbert,Kaydence_Retuta"
284,Who likes Early Modern Period?,"Celie_Scherbert,Arthur_Tames"
285,Who likes Crossword Puzzles?,"Celie_Scherbert,Vicie_Dopp"
286,Who likes Cowbells?,"Celie_Scherbert,Georgine_Armwood"
287,Who likes Prepared Mustard?,"Celie_Scherbert,Lorie_Dineen"
288,Who likes Rainbow Eucalyptus Trees?,"Celie_Scherbert,Jaquez_Windt"
289,Who likes Ocean Sunfish?,"Celie_Scherbert,Alaina_Shabaz"
290,Who likes Almond Milk?,"Celie_Scherbert,Lea_Hatz"
291,Who likes Titan Arums?,"Celie_Scherbert,Milo_Siddoway"
292,Who likes Romanticism?,"Celie_Scherbert,Daphne_Nosker"
293,Who likes the Boston Red Sox?,"Celie_Scherbert,Shalonda_Revelez"
294,Who likes Hangers?,"Ken_Palacz,Tyrone_Datu"
295,Who likes Lantanas?,"Ken_Palacz,Mattie_Puddy"
296,Who likes Emus?,"Ken_Palacz,Treva_Penix"
297,Who likes Highlighters?,"Ken_Palacz,Carlyle_Jee"
298,Who likes Riddles?,"Ken_Palacz,Jerod_Office"
299,Who likes Icebox Cakes?,"Ken_Palacz,Kanye_Goehner"
300,Who likes Naan Bread?,"Ken_Palacz,Trevion_Malasig"
301,Who likes Salsa Dip?,"Ken_Palacz,Dulce_Pardieck"
302,Who likes Fir Trees?,"Ken_Palacz,Thor_Flandez"
303,Who likes Malts?,"Ken_Palacz,Charolette_Ransbottom"
304,Who likes Popcorn?,"Ken_Palacz,Chaka_Laham"
305,Who likes Refrigerators?,"Ken_Palacz,Latosha_Gorthy"
306,Who likes Harmonicas?,"Ken_Palacz,Aubra_Hokenson"
307,Who likes Donuts?,"Ken_Palacz,Burl_Corlis"
308,Who likes Handbags?,"Ken_Palacz,Saniyah_Jankowski"
309,Who likes Humility?,"Ken_Palacz,Judi_Wion"
310,Who likes Eagles?,"Ken_Palacz,Melissa_Zanis"
311,Who likes Provolone?,"Ken_Palacz,Dickie_Delibero"
312,Who likes Supernovae?,"Ken_Palacz,Kallie_Pavlovski"
313,Who likes Pressure Washers?,"Ken_Palacz,Juliana_Helmold"
314,Who likes Smoothies?,"Ken_Palacz,Vincenza_Otarola"
315,Who likes the San Francisco Giants?,"Ken_Palacz,Brent_Connell"
316,Who likes Copper?,"Ken_Palacz,Dillie_Newett"
317,Who likes Authors?,"Ken_Palacz,Deryl_Falsey"
318,Who likes Clamps?,"Ken_Palacz,Karyn_Geyser"
319,Who likes Perseverance?,"Ken_Palacz,Ninnie_Przybilla"
320,Who likes Mashed Potatoes?,"Ken_Palacz,Dejuan_Topete"
321,Who likes Souffles?,"Ken_Palacz,Kaydence_Retuta"
322,Who likes Veggie Straws?,"Ken_Palacz,Arthur_Tames"
323,Who likes Fika?,"Ken_Palacz,Vicie_Dopp"
324,Who likes Metronomes?,"Ken_Palacz,Georgine_Armwood"
325,Who likes Radishes?,"Ken_Palacz,Lorie_Dineen"
326,Who likes Socks?,"Ken_Palacz,Jaquez_Windt"
327,Who likes Children's Literature?,"Ken_Palacz,Alaina_Shabaz"
328,Who likes Political Science?,"Ken_Palacz,Lea_Hatz"
329,Who likes Horseshoe Crabs?,"Ken_Palacz,Milo_Siddoway"
330,Who likes Gladiolus?,"Ken_Palacz,Daphne_Nosker"
331,Who likes Western Movies?,"Ken_Palacz,Shalonda_Revelez"
332,Who likes Travelogues?,"Tyrone_Datu,Mattie_Puddy"
333,Who likes Western Calligraphy?,"Tyrone_Datu,Treva_Penix"
334,Who likes Ambrosia Salads?,"Tyrone_Datu,Carlyle_Jee"
335,Who likes Generosity?,"Tyrone_Datu,Jerod_Office"
336,Who likes Musicals?,"Tyrone_Datu,Kanye_Goehner"
337,Who likes Storytelling?,"Tyrone_Datu,Trevion_Malasig"
338,Who likes Psychology?,"Tyrone_Datu,Dulce_Pardieck"
339,Who likes Symmetry?,"Tyrone_Datu,Thor_Flandez"
340,Who likes White Pepper?,"Tyrone_Datu,Charolette_Ransbottom"
341,Who likes Flax Seeds?,"Tyrone_Datu,Chaka_Laham"
342,Who likes Redwood Trees?,"Tyrone_Datu,Latosha_Gorthy"
343,Who likes Platypuses?,"Tyrone_Datu,Aubra_Hokenson"
344,Who likes Composting?,"Tyrone_Datu,Burl_Corlis"
345,Who likes Binturongs?,"Tyrone_Datu,Saniyah_Jankowski"
346,Who likes Leeks?,"Tyrone_Datu,Judi_Wion"
347,Who likes Cognitive Science?,"Tyrone_Datu,Melissa_Zanis"
348,Who likes Bowling?,"Tyrone_Datu,Dickie_Delibero"
349,Who likes Lagoons?,"Tyrone_Datu,Kallie_Pavlovski"
350,Who likes Pharmacology?,"Tyrone_Datu,Juliana_Helmold"
351,Who likes Sunrise?,"Tyrone_Datu,Vincenza_Otarola"
352,Who likes Ethics?,"Tyrone_Datu,Brent_Connell"
353,Who likes Cacti?,"Tyrone_Datu,Dillie_Newett"
354,Who likes Pole Dancing?,"Tyrone_Datu,Deryl_Falsey"
355,Who likes Sycamore Trees?,"Tyrone_Datu,Karyn_Geyser"
356,Who likes Ancient Greece?,"Tyrone_Datu,Ninnie_Przybilla"
357,Who likes Curling?,"Tyrone_Datu,Dejuan_Topete"
358,Who likes Sparkling Water?,"Tyrone_Datu,Kaydence_Retuta"
359,Who likes Watermelons?,"Tyrone_Datu,Arthur_Tames"
360,Who likes Quokkas?,"Tyrone_Datu,Vicie_Dopp"
361,Who likes Steak?,"Tyrone_Datu,Georgine_Armwood"
362,Who likes Overalls?,"Tyrone_Datu,Lorie_Dineen"
363,Who likes Tapioca Puddings?,"Tyrone_Datu,Jaquez_Windt"
364,Who likes Maple Trees?,"Tyrone_Datu,Alaina_Shabaz"
365,Who likes Paleontology?,"Tyrone_Datu,Lea_Hatz"
366,Who likes Meteorology?,"Tyrone_Datu,Milo_Siddoway"
367,Who likes Dining Tables?,"Tyrone_Datu,Daphne_Nosker"
368,Who likes Machinists?,"Tyrone_Datu,Shalonda_Revelez"
369,Who likes Root Beer Soda?,"Mattie_Puddy,Treva_Penix"
370,Who likes Kidney Beans?,"Mattie_Puddy,Carlyle_Jee"
371,Who likes Cross-stitching?,"Mattie_Puddy,Jerod_Office"
372,Who likes Contentment?,"Mattie_Puddy,Kanye_Goehner"
373,Who likes Cartography?,"Mattie_Puddy,Trevion_Malasig"
374,Who likes Playwriting?,"Mattie_Puddy,Dulce_Pardieck"
375,Who likes Stargazing?,"Mattie_Puddy,Thor_Flandez"
376,Who likes Tourmaline?,"Mattie_Puddy,Charolette_Ransbottom"
377,Who likes Acrylic Painting?,"Mattie_Puddy,Chaka_Laham"
378,Who likes Strawberries?,"Mattie_Puddy,Latosha_Gorthy"
379,Who likes Milkshakes?,"Mattie_Puddy,Aubra_Hokenson"
380,Who likes Memoirs?,"Mattie_Puddy,Burl_Corlis"
381,Who likes Cobblers?,"Mattie_Puddy,Saniyah_Jankowski"
382,Who likes Club Crackers?,"Mattie_Puddy,Judi_Wion"
383,Who likes Autobiographies?,"Mattie_Puddy,Melissa_Zanis"
384,Who likes Coconut Yogurt?,"Mattie_Puddy,Dickie_Delibero"
385,Who likes Genetics?,"Mattie_Puddy,Kallie_Pavlovski"
386,Who likes Havarti?,"Mattie_Puddy,Juliana_Helmold"
387,Who likes R&B Music?,"Mattie_Puddy,Vincenza_Otarola"
388,Who likes Zinnias?,"Mattie_Puddy,Brent_Connell"
389,Who likes Cosmic Brownies?,"Mattie_Puddy,Dillie_Newett"
390,Who likes Hip Hop Music?,"Mattie_Puddy,Deryl_Falsey"
391,Who likes Lavash?,"Mattie_Puddy,Karyn_Geyser"
392,Who likes Calmness?,"Mattie_Puddy,Ninnie_Przybilla"
393,Who likes White Chocolate Brownies?,"Mattie_Puddy,Dejuan_Topete"
394,Who likes Tilapia?,"Mattie_Puddy,Kaydence_Retuta"
395,Who likes Barbershop quartets?,"Mattie_Puddy,Arthur_Tames"
396,Who likes Diamonds?,"Mattie_Puddy,Vicie_Dopp"
